Anno;Cittadinanza;Area;Provenienza;Sesso;Numero Immigrati
1999;Pakistan;Altri paesi Asia;Provincia di Ferrara;Maschi;1
1999;Pakistan;Altri paesi Asia;Provincia di Forlì-Cesena;Femmine;1
1999;Regno Unito;Unione Europea;Lombardia;Femmine;1
1999;Russia (Federazione);Altri Paesi Europa;Estero;Femmine;18
1999;Senegal;Altri paesi Africa;Provincia di Bologna;Maschi;3
1999;Serbia-Montenegro;Altri Paesi Europa;Estero;Maschi;56
1999;Serbia-Montenegro;Altri Paesi Europa;Lazio;Maschi;1
1999;Spagna;Unione Europea;Estero;Femmine;7
1999;Spagna;Unione Europea;Friuli Venezia Giulia;Femmine;1
1999;Sri Lanka (Ceylon);Altri paesi Asia;Marche;Maschi;1
1999;Svizzera;Altri Paesi Europa;Provincia di Bologna;Femmine;1
1999;Tunisia;Africa settentrionale;Provincia di Bologna;Femmine;9
2000;Algeria;Africa settentrionale;Provincia di Bologna;Maschi;2
2000;Bangladesh;Altri paesi Asia;Toscana;Maschi;1
2000;Camerun;Altri paesi Africa;Provincia di Bologna;Femmine;1
2000;Capo Verde;Altri paesi Africa;Estero;Femmine;4
2000;Cile;America meridionale;Estero;Femmine;3
2000;Congo;Altri paesi Africa;Estero;Femmine;3
2000;Corea del Sud (Rep.);Altri paesi Asia;Estero;Maschi;1
2000;Costa d'Avorio;Altri paesi Africa;Campania;Maschi;2
2000;Filippine;Altri paesi Asia;Lazio;Maschi;9
2000;Filippine;Altri paesi Asia;Piemonte;Femmine;2
2000;Filippine;Altri paesi Asia;Sicilia;Maschi;1
2000;Finlandia;Unione Europea;Estero;Femmine;3
2000;India;Altri paesi Asia;Estero;Maschi;8
2000;Libano;Asia occidentale;Estero;Maschi;3
2000;Madagascar;Altri paesi Africa;Estero;Femmine;3
2000;Marocco;Africa settentrionale;Provincia di Ravenna;Femmine;1
2000;Marocco;Africa settentrionale;Sicilia;Femmine;3
2000;Nigeria;Altri paesi Africa;Estero;Maschi;8
2000;Regno Unito;Unione Europea;Estero;Maschi;8
2000;Somalia;Altri paesi Africa;Marche;Femmine;1
2000;Sri Lanka (Ceylon);Altri paesi Asia;Estero;Maschi;30
2000;Sri Lanka (Ceylon);Altri paesi Asia;Sicilia;Maschi;8
2000;Venezuela;America meridionale;Veneto;Femmine;1
2001;Brasile;America meridionale;Provincia di Bologna;Femmine;1
2001;Cina;Altri paesi Asia;Lombardia;Femmine;3
2001;Cina;Altri paesi Asia;Provincia di Bologna;Femmine;7
2001;Costa d'Avorio;Altri paesi Africa;Provincia di Bologna;Femmine;1
2001;Egitto;Africa settentrionale;Estero;Maschi;6
2001;Etiopia;Altri paesi Africa;Estero;Maschi;4
2001;Etiopia;Altri paesi Africa;Umbria;Maschi;1
2001;Germania;Unione Europea;Liguria;Maschi;1
2001;Grecia;Unione Europea;Estero;Femmine;13
2001;Irlanda;Unione Europea;Estero;Maschi;3
2001;Moldova;Altri Paesi Europa;Sicilia;Femmine;1
2001;Somalia;Altri paesi Africa;Estero;Femmine;10
2001;Venezuela;America meridionale;Estero;Femmine;2
2002;Capo Verde;Altri paesi Africa;Lazio;Femmine;2
2002;Cina;Altri paesi Asia;Provincia di Parma;Femmine;1
2002;Egitto;Africa settentrionale;Campania;Maschi;1
2002;Egitto;Africa settentrionale;Provincia di Bologna;Maschi;3
2002;Eritrea;Altri paesi Africa;Estero;Femmine;13
2002;Eritrea;Altri paesi Africa;Provincia di Bologna;Maschi;2
2002;Estonia;Altri Paesi Europa;Estero;Femmine;1
2002;Filippine;Altri paesi Asia;Abruzzo;Femmine;4
2002;Filippine;Altri paesi Asia;Campania;Femmine;3
2002;Filippine;Altri paesi Asia;Lazio;Maschi;14
2002;Haiti;America centrale;Estero;Maschi;1
2002;India;Altri paesi Asia;Provincia di Modena;Maschi;1
2002;Irlanda;Unione Europea;Estero;Femmine;2
2002;Israele;Asia occidentale;Provincia di Bologna;Maschi;1
2002;Libano;Asia occidentale;Provincia di Bologna;Femmine;1
2002;Marocco;Africa settentrionale;Provincia di Bologna;Femmine;17
2002;Pakistan;Altri paesi Asia;Provincia di Reggio Emilia;Maschi;1
2002;Polonia;Altri Paesi Europa;Liguria;Femmine;1
2002;Portogallo;Unione Europea;Estero;Maschi;1
2002;Regno Unito;Unione Europea;Toscana;Maschi;1
2002;Rep. Dominicana;America centrale;Provincia di Bologna;Maschi;2
2002;Slovacchia;Altri Paesi Europa;Provincia di Modena;Femmine;2
2002;Somalia;Altri paesi Africa;Provincia di Bologna;Femmine;3
2002;Spagna;Unione Europea;Estero;Femmine;18
2002;Sri Lanka (Ceylon);Altri paesi Asia;Lazio;Femmine;3
2002;Ucraina;Altri Paesi Europa;Provincia di Modena;Femmine;1
2002;Ucraina;Altri Paesi Europa;Provincia di Parma;Femmine;1
2003;Bangladesh;Altri paesi Asia;Provincia di Rimini;Maschi;2
2003;Brasile;America meridionale;Estero;Maschi;10
2003;Burkina Faso;Altri paesi Africa;Estero;Maschi;2
2003;Cina;Altri paesi Asia;Marche;Femmine;2
2003;Egitto;Africa settentrionale;Estero;Femmine;8
2003;Etiopia;Altri paesi Africa;Estero;Maschi;8
2003;Francia;Unione Europea;Estero;Femmine;13
2003;Germania;Unione Europea;Veneto;Femmine;1
2003;Ghana;Altri paesi Africa;Lombardia;Maschi;1
2003;Ghana;Altri paesi Africa;Provincia di Modena;Maschi;1
2003;Marocco;Africa settentrionale;Basilicata;Femmine;1
2003;Nigeria;Altri paesi Africa;Provincia di Modena;Femmine;2
2003;Nigeria;Altri paesi Africa;Veneto;Maschi;1
2003;Polonia;Altri Paesi Europa;Estero;Maschi;17
2003;Rep. Ceca;Altri Paesi Europa;Estero;Femmine;1
2003;Rep. Dominicana;America centrale;Provincia di Bologna;Femmine;3
2003;Romania;Altri Paesi Europa;Lombardia;Femmine;2
2003;Serbia-Montenegro;Altri Paesi Europa;Estero;Femmine;11
2003;Somalia;Altri paesi Africa;Lombardia;Femmine;1
2003;Stati Uniti;America settentrionale;Provincia di Bologna;Femmine;2
2003;Stati Uniti;America settentrionale;Toscana;Femmine;1
2004;Albania;Altri Paesi Europa;Veneto;Maschi;2
2004;Bangladesh;Altri paesi Asia;Sicilia;Maschi;2
2004;Brasile;America meridionale;Abruzzo;Femmine;1
2004;Cina;Altri paesi Asia;Abruzzo;Femmine;1
2004;Cina;Altri paesi Asia;Lombardia;Maschi;2
2004;Colombia;America meridionale;Provincia di Ferrara;Maschi;1
2004;Costa d'Avorio;Altri paesi Africa;Toscana;Femmine;1
2004;Costarica;America centrale;Estero;Maschi;1
2004;Egitto;Africa settentrionale;Lombardia;Maschi;1
2004;Eritrea;Altri paesi Africa;Sicilia;Femmine;2
2004;Eritrea;Altri paesi Africa;Sicilia;Maschi;1
2004;Filippine;Altri paesi Asia;Estero;Femmine;105
2004;Filippine;Altri paesi Asia;Lazio;Maschi;6
2004;Francia;Unione Europea;Estero;Maschi;14
2004;India;Altri paesi Asia;Estero;Femmine;13
2004;Libano;Asia occidentale;Provincia di Bologna;Maschi;2
2004;Marocco;Africa settentrionale;Puglia;Maschi;4
2004;Moldova;Altri Paesi Europa;Campania;Femmine;1
2004;Nigeria;Altri paesi Africa;Veneto;Maschi;1
2004;Perù;America meridionale;Lazio;Femmine;5
2004;Rep. Ceca;Unione Europea;Estero;Femmine;5
2004;Rep. Ceca;Unione Europea;Veneto;Femmine;1
2004;Rep. Dem. del Congo (Zaire);Altri paesi Africa;Toscana;Femmine;1
2004;Rep. Dem. del Congo (Zaire);Altri paesi Africa;Toscana;Maschi;1
2004;Romania;Altri Paesi Europa;Provincia di Ferrara;Maschi;1
2004;Romania;Altri Paesi Europa;Provincia di Ravenna;Maschi;1
2004;Singapore;Altri paesi Asia;Estero;Femmine;1
2004;Somalia;Altri paesi Africa;Provincia di Bologna;Femmine;2
2004;Sri Lanka (Ceylon);Altri paesi Asia;Liguria;Femmine;1
2004;Thailandia;Altri paesi Asia;Estero;Femmine;4
2004;Tunisia;Africa settentrionale;Provincia di Rimini;Maschi;1
2004;Turchia;Altri Paesi Europa;Lazio;Maschi;1
2004;Ucraina;Altri Paesi Europa;Campania;Femmine;9
2005;Albania;Altri Paesi Europa;Lazio;Maschi;2
2005;Albania;Altri Paesi Europa;Toscana;Maschi;3
2005;Argentina;America meridionale;Estero;Femmine;16
2005;Brasile;America meridionale;Provincia di Modena;Femmine;1
2005;Bulgaria;Altri Paesi Europa;Provincia di Bologna;Femmine;1
2005;Capo Verde;Altri paesi Africa;Sicilia;Femmine;1
2005;Cina;Altri paesi Asia;Campania;Maschi;1
2005;Cina;Altri paesi Asia;Lazio;Femmine;5
2005;Cina;Altri paesi Asia;Provincia di Parma;Maschi;1
2005;Cuba;America centrale;Estero;Femmine;19
2005;Etiopia;Altri paesi Africa;Sicilia;Femmine;1
2005;Filippine;Altri paesi Asia;Provincia di Reggio Emilia;Femmine;2
2005;Francia;Unione Europea;Provincia di Bologna;Maschi;2
2005;Germania;Unione Europea;Piemonte;Femmine;1
2005;Giordania;Asia occidentale;Estero;Femmine;1
2005;Guatemala;America centrale;Estero;Femmine;1
2005;India;Altri paesi Asia;Calabria;Maschi;1
2005;India;Altri paesi Asia;Veneto;Maschi;1
2005;Libia;Africa settentrionale;Campania;Maschi;1
2005;Macedonia;Altri Paesi Europa;Provincia di Bologna;Femmine;2
2005;Marocco;Africa settentrionale;Campania;Femmine;1
2005;Marocco;Africa settentrionale;Provincia di Bologna;Femmine;60
